video|frame_number|tree_id|damage_index|bounding_box
20201007_140032.mp4|4484|31514|1|"MULTIPOINT(1002 473, 1456 934)"
20201008_155602.mp4|6|37994|0|"MULTIPOINT(189 760, 359 972)"
20201019_162523.mp4|3401|51591|1|"MULTIPOINT(1381 205, 1920 805)"
20201012_143658.mp4|1661|45298|1|"MULTIPOINT(960 570, 1203 820)"
20201007_140032.mp4|2255|30777|2|"MULTIPOINT(854 727, 956 913)"
20201002_113823.mp4|3124|12080|0|"MULTIPOINT(660 202, 1164 967)"
20201012_122211.mp4|585|41092|3|"MULTIPOINT(449 793, 556 1079)"
20201022_121240.mp4|2411|56228|3|"MULTIPOINT(1766 629, 1920 797)"
20201007_140032.mp4|5475|31975|3|"MULTIPOINT(22 693, 267 921)"
20201001_092426.mp4|3271|8242|1|"MULTIPOINT(330 436, 798 986)"
20201022_114221.mp4|2137|53537|4|"MULTIPOINT(1377 652, 1441 923)"
20201016_155206.mp4|5642|46914|3|"MULTIPOINT(1215 891, 1267 1009)"
20201001_102824.mp4|1012|377|0|"MULTIPOINT(255 876, 463 1057)"
20201022_124619.mp4|23|57320|4|"MULTIPOINT(1741 873, 1866 1080)"
20201022_121240.mp4|6052|57310|3|"MULTIPOINT(944 621, 1031 1010)"
20201019_162523.mp4|1550|50746|4|"MULTIPOINT(277 344, 583 1080)"
20201019_171708.mp4|3251|48882|4|"MULTIPOINT(1734 710, 1777 791)"
20201022_121240.mp4|5610|57127|3|"MULTIPOINT(1733 750, 1821 990)"
20201019_162523.mp4|247|50014|0|"MULTIPOINT(789 578, 1040 906)"
20201007_150750.mp4|2069|28672|2|"MULTIPOINT(608 782, 664 831)"
20201022_121240.mp4|497|55005|4|"MULTIPOINT(1567 188, 1870 737)"
20201012_125230.mp4|3291|39764|2|"MULTIPOINT(93 810, 352 1076)"
20201012_122211.mp4|622|41152|1|"MULTIPOINT(493 293, 987 845)"
20201001_102824.mp4|4877|2812|3|"MULTIPOINT(1466 694, 1644 905)"
20201012_143658.mp4|71|43660|1|"MULTIPOINT(0 852, 142 1063)"
20201012_125230.mp4|142|38610|3|"MULTIPOINT(492 621, 635 973)"
20201007_133013.mp4|1308|32355|4|"MULTIPOINT(1159 550, 1213 686)"
20201005_120427.mp4|4290|18139|0|"MULTIPOINT(1344 667, 1582 826)"
20201008_152542.mp4|1806|35816|3|"MULTIPOINT(203 786, 332 893)"
20201008_152542.mp4|1087|35290|1|"MULTIPOINT(40 224, 822 1079)"
20201022_114221.mp4|5850|54922|0|"MULTIPOINT(233 837, 543 1080)"
20201008_141218.mp4|4248|34634|4|"MULTIPOINT(424 119, 548 475)"
20201012_143658.mp4|978|44660|0|"MULTIPOINT(839 573, 965 786)"
20201007_133013.mp4|860|32230|1|"MULTIPOINT(1777 792, 1872 884)"
20201022_121240.mp4|1841|56025|0|"MULTIPOINT(907 726, 1284 1034)"
20201012_125230.mp4|1602|39324|1|"MULTIPOINT(998 4, 1909 1074)"
20201001_092426.mp4|2269|7803|1|"MULTIPOINT(297 431, 733 1031)"
20201005_123446.mp4|5496|15988|4|"MULTIPOINT(1823 41, 1920 334)"
20201019_171708.mp4|2149|48677|4|"MULTIPOINT(1805 748, 1873 846)"
20201005_130825.mp4|4640|19829|0|"MULTIPOINT(1128 824, 1355 1046)"
20201001_095445.mp4|1217|4635|1|"MULTIPOINT(1202 386, 1631 735)"
20201001_092426.mp4|4216|9137|2|"MULTIPOINT(681 817, 751 909)"
20201006_145901.mp4|5473|25483|0|"MULTIPOINT(468 741, 682 1009)"
20201019_162523.mp4|2047|50952|2|"MULTIPOINT(115 629, 221 719)"
20201007_150750.mp4|911|28250|1|"MULTIPOINT(1490 0, 1906 681)"
20201001_102824.mp4|3620|2230|3|"MULTIPOINT(876 21, 1140 372)"
20201022_121240.mp4|3607|56816|0|"MULTIPOINT(186 873, 319 1030)"
20201012_122211.mp4|5130|43419|3|"MULTIPOINT(1630 411, 1852 765)"
20201022_114221.mp4|392|53001|1|"MULTIPOINT(66 588, 420 951)"
20201007_140032.mp4|2275|30881|2|"MULTIPOINT(1801 487, 1909 730)"
20201006_142841.mp4|400|20090|2|"MULTIPOINT(991 537, 1308 1071)"
20201002_113823.mp4|481|10908|2|"MULTIPOINT(1109 686, 1357 1012)"
20201022_121240.mp4|3222|56538|2|"MULTIPOINT(723 528, 1016 1006)"
20201019_141753.mp4|330|49170|4|"MULTIPOINT(1706 774, 1783 1027)"
20201001_095445.mp4|785|4024|0|"MULTIPOINT(213 898, 484 1080)"
20201007_150750.mp4|413|28116|0|"MULTIPOINT(0 687, 209 1010)"
20201001_092426.mp4|821|7191|1|"MULTIPOINT(281 167, 1201 1080)"
20201012_125230.mp4|4984|40292|1|"MULTIPOINT(699 639, 981 884)"
20201001_092426.mp4|4920|10184|1|"MULTIPOINT(265 810, 464 1080)"
20201001_095445.mp4|3564|5734|1|"MULTIPOINT(66 828, 278 1004)"
20201007_140032.mp4|1074|30210|0|"MULTIPOINT(1090 705, 1202 849)"
20201001_092426.mp4|2774|7866|4|"MULTIPOINT(332 595, 438 1080)"
20201001_102824.mp4|4655|2742|1|"MULTIPOINT(376 21, 1292 836)"
20201012_125230.mp4|3306|39808|3|"MULTIPOINT(794 582, 1069 1080)"
20201022_114221.mp4|657|53147|1|"MULTIPOINT(593 625, 1105 1069)"
20201001_092426.mp4|972|7276|0|"MULTIPOINT(505 723, 896 1032)"
20201012_125230.mp4|2616|39657|0|"MULTIPOINT(50 732, 282 1056)"
20201007_150750.mp4|1299|28542|2|"MULTIPOINT(140 655, 299 998)"
20201022_121240.mp4|6027|57262|4|"MULTIPOINT(656 747, 705 1003)"
20201005_120427.mp4|1693|17241|4|"MULTIPOINT(1728 313, 1919 692)"
20201006_142841.mp4|2936|20424|2|"MULTIPOINT(1347 719, 1467 897)"
20201022_114221.mp4|2165|53589|4|"MULTIPOINT(1630 716, 1664 825)"
20201006_142841.mp4|613|20125|4|"MULTIPOINT(949 894, 1014 1080)"
20201022_114221.mp4|1544|53345|2|"MULTIPOINT(497 784, 628 924)"
20201001_092426.mp4|1773|7491|2|"MULTIPOINT(706 42, 1110 985)"
20201007_140032.mp4|648|29655|3|"MULTIPOINT(516 0, 1296 1007)"
20201007_140032.mp4|2268|30850|3|"MULTIPOINT(1253 616, 1348 863)"
20201001_092426.mp4|563|6919|0|"MULTIPOINT(472 860, 665 1080)"
20201006_142841.mp4|2994|20510|2|"MULTIPOINT(1824 753, 1920 873)"
20201012_143658.mp4|990|44719|2|"MULTIPOINT(893 388, 1063 646)"
20201016_155206.mp4|5871|47103|3|"MULTIPOINT(1632 701, 1788 876)"
20201007_150750.mp4|2085|28745|3|"MULTIPOINT(549 237, 759 802)"
20201012_125230.mp4|1910|39507|1|"MULTIPOINT(1347 33, 1920 848)"
20201012_143658.mp4|1198|44779|2|"MULTIPOINT(1304 835, 1366 906)"
20201008_124210.mp4|2003|38442|4|"MULTIPOINT(570 391, 607 528)"
20201001_092426.mp4|3799|9021|2|"MULTIPOINT(927 861, 1118 1036)"
20201012_125230.mp4|4609|40141|3|"MULTIPOINT(622 230, 876 493)"
20201019_162523.mp4|1327|50682|0|"MULTIPOINT(562 880, 773 1080)"
20201022_121240.mp4|3567|56806|3|"MULTIPOINT(655 583, 722 724)"
20201002_104933.mp4|1476|12789|4|"MULTIPOINT(818 1572, 976 1897)"
20201012_122211.mp4|4501|42929|4|"MULTIPOINT(1113 884, 1133 949)"
20201006_142841.mp4|2949|20446|2|"MULTIPOINT(331 881, 427 1066)"
20201007_143411.mp4|4104|27551|2|"MULTIPOINT(494 843, 611 1061)"
20201002_101554.mp4|434|10670|4|"MULTIPOINT(868 1526, 932 1863)"
20201002_104933.mp4|1390|12787|4|"MULTIPOINT(348 1605, 428 1863)"
20201005_120427.mp4|4795|18263|0|"MULTIPOINT(27 842, 216 1069)"
20201008_152542.mp4|1231|35524|2|"MULTIPOINT(371 2, 954 964)"
20201007_133013.mp4|2451|32560|3|"MULTIPOINT(1609 779, 1750 892)"
20201016_155206.mp4|3676|46393|3|"MULTIPOINT(657 98, 1195 895)"
20201006_142841.mp4|2953|20465|0|"MULTIPOINT(1484 773, 1675 993)"
